;user_id;actual;als_5;own_5;sim_user_5;sim_item_5
35;46;"[  878996  1029743   862335   821209   999999   834572   836445   838867
   840244   850139   871337   883932   884896   920155   960732   981660
   988202   999104  1003799  1004906  1009884  1042438  1068719  1075275
  1085778  1106271  1108094  1109136  1109249  1120361  1122844  1128244
  1135573  5572738  6463752  6464074  7409969  8090532  8090537  9419487
  9931450 10143885 16035203   866211   882247   903325]";[1029743, 866211, 935393, 5569230, 1082212];[862335, 7024847, 6632283, 881391, 5565925];[1096563, 1036495, 1018339, 835499, 921406];[1074754, 1042571, 5568378, 857503, 882247]
36;47;[ 9487606  9677366 16035203   999999 12330376  8119318];[885290, 934399, 5568732, 1037965, 823775];[6533681, 861990, 6533236, 8119103, 1101744];[6395907, 9338009, 906844, 1026258, 12262832];[1115553, 5566307, 959638, 888835, 12262830]
37;49;"[  825365  1050482   999999  1074333 15860306   990256  1000753  1030182
  1093697  1103691 12301338   839243   859191   895295   904092   916122
   959272   983680  1039927  1121218  6704411 12384953 12731432]";[901067, 839419, 862799, 857503, 844179];[1139782, 1057168, 901067, 1009361, 985605];[924667, 9392953, 8019681, 1003699, 865026];[1011457, 901062, 965530, 5591170, 887078]
38;50;"[  835058   865992   907631   912739   999090  1016863   999999  1027068
  1029743  1126895  6633224  6633273  9655528 12949855 15863619]";[1071594, 941797, 952698, 9881593, 943169];[939860, 1118547, 976335, 939605, 5570882];[1056212, 870515, 859610, 928263, 1128395];[1029688, 958382, 877210, 849202, 12757007]
39;51;[ 880427  887661 1004906 1029743 1070272 1072523 1119761 7410344];[8015407, 13381584, 986912, 12810393, 1090884];[8015407, 1053016, 1119942, 1082212, 12524245];[1058709, 1102003, 861494, 943522, 5577022];[1074754, 1043751, 1126808, 1105301, 1105301]
40;52;"[  889223   910309   999999  1030182  1056740  1093113  1106523  1115553
  5564901 13189899   832678   909972  1013982   851528  5569230]";[1013531, 1038985, 893867, 1059922, 1125530];[1109680, 937403, 879280, 918046, 1072437];[1036486, 5568661, 9547021, 1055044, 6979248];[1133826, 920109, 868868, 5569845, 1044078]
41;53;"[  825882   839419   859427   999999   897837   906883  1087102  5564636
  6034857  6632447  9832156 13906641   844179   939546  1097418  5569471]";[1068291, 7167865, 5566800, 1070272, 12524691];[13906641, 1099802, 9859017, 9677791, 1129805];[833151, 1074040, 8090508, 916578, 1076580];[1011457, 1127831, 1129805, 9487498, 1016210]
42;55;"[  990797  1097280   999999   883932 13007355 13008334  7409790   899624
  8249513 12810422]";[1087411, 1097280, 909256, 9527558, 6463724];[1116589, 1115800, 6391080, 5570467, 5570513];[841365, 1106117, 1116385, 845914, 963194];[909256, 832442, 6773232, 9526630, 7025496]
43;56;"[  891415   963835   979707   999999  1010112 10356662 12984929 13944905
   899624   949294   844179   878636   911974   990797  5569230 15716369
  1022097  1123101   922561  1132231  5568729  9803545   848029   848471
   852856   881857   892978   929341   967994   991223  1087955 12810389
 14025442 17990339   904997  1130581  6464165 17179856]";[1018740, 865026, 1135834, 986912, 900586];[891415, 9803545, 5568072, 1078543, 9655212];[5567582, 866548, 990869, 955921, 1013578];[5568072, 898121, 1007512, 8177622, 5567874]
44;57;"[  965766  9297062   999999   961447  9487606 17249614  1011141  7115533
  1065871  9676866]";[1132771, 1018740, 996009, 827578, 1087102];[1011141, 1080888, 1012801, 939860, 9297574];[9935616, 1057168, 964221, 852014, 12262832];[5591170, 1101932, 8090521, 993638, 954424]
45;58;"[  821641   999999   876948   926032   957013   960732   979707   982955
  1006184  1055425  1088387  1092120  1103377  6463727  8155722  9420140
 10344718 12330660 13008326 13008327   934399   992077  1070820  7443373
   977780   984957  1048068  1101437  1081944  5578547 10311767   903325
   916758   995151  1135258  1135476  9268695  9446216 13382461 13382462]";[995478, 1126899, 901062, 6602729, 944836];[1000148, 977780, 1008324, 9859017, 916758];[926006, 916990, 822115, 988277, 1133654];[1044078, 1135476, 1047769, 1066461, 5565925]
46;59;"[  999999   830608   857981   865456   899624  1092944  9527424 10150194
 10180324 10457471]";[844179, 12810391, 899624, 1068561, 1046827];[1134296, 847962, 1024032, 1053016, 12352054];[1009437, 8019649, 7168058, 1036093, 869835];[5569845, 1059922, 999999, 944486, 916122]
47;62;[999999];[1106523, 847207, 851819, 5585510, 1067779];[5707857, 1029743, 1106523, 5569230, 916122];[989275, 976293, 877310, 8292958, 1022066];[1029743, 1106523, 5569230, 916122, 844179]
48;63;[ 892144 7431408];[1062572, 1098910, 870428, 1087411, 1125530];[1062572, 7431408, 9677462, 995598, 865718];[9677093, 1064002, 10457044, 886996, 13213567];[1125530, 923654, 1026550, 913210, 904148]
49;64;"[ 7147142  7152455   999999  7147145   901460  1036699 13841744 15741041
  1004906   982469   839419]";[7147145, 910673, 1106523, 1025611, 836445];[949023, 1106116, 7152455, 1063855, 9859017];[871514, 972416, 869835, 1025650, 901976];[863762, 7147142, 7147145, 1070702, 832526]
50;65;[  986912   905542   999999  7168286 12781564];[870390, 1043787, 866211, 5569230, 862010];[961889, 1095964, 1084796, 871722, 909800];[951176, 1038745, 6904613, 894570, 1056212];[1075007, 1074754, 901062, 993638, 878715]
51;67;"[ 1025650   880741   947326   965530  1004945  1007773  1115576 16729415
 16769856   999999   971922   823721   949965  1004906  1009128  1054483
  1068719  1118946  1126979 13095061   926905  1074754 10344714 10344718
   903350  7167963   866211   904236   835098   843206  1042907 12810391
   985999  1135476  5564634]";[9881593, 866211, 1018818, 5569845, 1048445];[13417761, 9420067, 1118946, 1139782, 892728];[902377, 828489, 1059153, 850768, 1101744];[5591520, 1132036, 1074754, 999599, 971922]
52;68;"[  918098   999999   959272  1004906  1044078  9677748   901460   949965
  1051211 12302069   944852  1020604 15926927   901067  1082990   825289
  1012587]";[844179, 1029743, 1044078, 1004906, 8090537];[856818, 1082990, 950894, 8019916, 12523928];[1085637, 824193, 835058, 962266, 979877];[1074754, 952163, 1004906, 985999, 5569845]
53;69;"[1043663 1069538 1106523  999999 1044188 5565612  956486 1064574  844179
  979452 5574409  823990  972143  987410 1044078 1068719 1079987 1099905
 9835408]";[910673, 1106523, 1025611, 1044078, 972143];[902377, 977927, 1127470, 1044188, 913249];[9856740, 13512837, 911017, 9488065, 5570590];[12301100, 982469, 948832, 1044078, 9268695]
54;71;"[  916122   926905  1016800  1068719   999999   865511   899624  1008288
  1101010  8019186 13842100  1099510  1119860  6553398  8118675 13906634]";[1008288, 1016800, 1090931, 5569230, 1065871];[1008288, 1091809, 832968, 6904613, 7431134];[5569135, 936830, 1080867, 836085, 8090956];[9677149, 12301100, 944486, 1046545, 12301109]
55;75;[999999];[1106523, 847207, 851819, 5585510, 1067779];[5707857, 1029743, 1106523, 5569230, 916122];[922561, 8292958, 916990, 6773232, 7462562];[1029743, 1106523, 5569230, 916122, 844179]
56;77;"[  829323   854405   865511   879506   880150   893018   917033   954347
   955921   999999  1022097  1072693  1074754  1106523  1109136  1126899
  1137010  7410348 13381584   829950   879977   901062   916122   966348
  1060408  1089025  1091410  1101502  1127758  7441102  9368509  9487885
  1096635   857503   863211  1091520  1103147  6979128  9834000 12987861]";[916122, 1029743, 1020581, 12810393, 9856740];[955921, 9676997, 849578, 9677874, 879977];[839656, 1112205, 1115800, 6552318, 1074040];[942778, 1044078, 1133826, 9677874, 9676997]
57;78;"[  999999   975649  9419470  1039627  1097280 12262992  6533681 13115938
 13775274  1104349]";[6773232, 1097280, 1039627, 9655678, 1067779];[6773232, 6391080, 1121808, 9655678, 1039627];[9483753, 1057168, 1106117, 998519, 949023];[912817, 1097280, 854852, 997479, 933637]
58;79;"[ 9707077   999999   897954   921504   960732  1070845  7441498 12130522
 13213604 17179856]";[8090532, 10344585, 6034857, 12352330, 916993];[1103513, 1087411, 12352330, 13213604, 1120261];[1039927, 902640, 1057168, 1008675, 9653535];[901062, 865907, 1138443, 883616, 13213604]
59;80;"[  933599  1026550   828331   831763   854042   854900   896027  1065871
  1078741  1130458   999999  6553398 13512837   986912  9926758]";[1127758, 1025611, 910673, 878996, 1044078];[894360, 1063594, 10198378, 1129610, 6463710];[972235, 1117219, 13039088, 6391080, 1018818];[1025611, 1105488, 986912, 1105488, 1003524]
60;81;[999999];[1106523, 1044078, 910673, 1025611, 1068292];[902377, 978294, 988697, 898847, 8090956];[856818, 9856740, 9488065, 6919082, 930335];[1074754, 1093413, 12301100, 978294, 1025611]
61;82;[ 1119761   999999   917816 12599756];[934639, 819308, 1070702, 871611, 8357613];[1057168, 1084036, 819308, 1119761, 12731299];[1091090, 916578, 1117219, 12484491, 823099];[1113111, 1029688, 13003092, 5569845, 998239]
62;83;[1075214];[996070, 878996, 1138631, 1104343, 854852];[879393, 1138631, 940731, 997347, 867138];[953539, 823576, 911017, 1117219, 1118946];[961980, 12692332, 1106271, 1123496, 1137284]
63;85;"[  999999  1079987 13007986   908368  1097280  5588582 14106445 16100266
  1139782   904521   822226]";[1137775, 1060318, 1018740, 1135834, 967144];[1105426, 1021519, 1139782, 849578, 860317];[5996054, 962967, 847434, 985605, 883819];[935646, 1122568, 880888, 990354, 950202]
64;86;[ 971922 1101010 1106523];[1050741, 8090541, 7024927, 8090532, 5569230];[865026, 8090612, 1065259, 12523928, 5569376];[841236, 1014732, 891505, 1112242, 12484491];[1135834, 1074754, 979707, 859426, 820301]
65;87;[ 999999 1079528 6396558 1108935 8293385];[6391089, 1116050, 6391173, 1079528, 6039740];[1079528, 6391089, 976293, 1083043, 6039740];[8357825, 9553048, 5707857, 5707857, 975085];[857538, 9297574, 1040812, 903800, 850676]
66;88;"[  999999   834117   860167   863030   878996   893018   897007   933835
   942278   947201  1089025  6034857  8090521  9881593 12384775 13007434
 13115914 15831403  1043663  1070820 10285005   847186   913210   832678
   862981   984575  1051211  1068561  1116770  1131490  1135476  5565925
  5569071  8156489  9420181  9523058 12810393 15596516   839192   917543
  1069538   849100   872762  6534578  9655305 17330179]";[1012701, 1055155, 947201, 9526572, 968391];[888104, 7410321, 1082990, 8090550, 9553048];[835499, 8293439, 1072693, 970152, 9527417];[8090537, 1113651, 880888, 5575888, 940947]
67;90;"[  999999   852856   862535   879393   896283   923149   923789  1022097
  1041796  1070820  1130470  6464166 12524365]";[1005274, 978343, 917438, 1019643, 12262832];[862535, 979439, 15972565, 6464166, 9676997];[1043920, 999625, 1056212, 9859017, 955921];[1043730, 964521, 901062, 862682, 824758]
68;91;"[  838637  1029743   845622   908290   968882   851394  1024871 13133787
   999999]";[1041688, 836085, 1111080, 6602729, 989275];[1000148, 910151, 989275, 908314, 1060912];[831517, 875089, 880168, 867215, 1133654];[1074754, 1059823, 1104343, 9194383, 6391534]
69;92;[880150];[6391089, 866871, 878996, 930118, 896613];[6391089, 6552318, 1050645, 6391080, 1104027];[8090542, 8203851, 870515, 829955, 13039088];[9297574, 945244, 854405, 948650, 16100266]
70;94;[ 1014116  1076580   883940   999999  5575713  9925966 12130522];[1026118, 863632, 930118, 951412, 1112205];[1010766, 1139638, 1065979, 849578, 7166863];[1032703, 9859017, 9420183, 1057168, 7167836];[1121256, 1125278, 828106, 868868, 1106271]
71;95;"[ 1028705  1090587   841220   849018   922561  1018740  1041796  1045337
  1051283  1054851   999999  1128812  6534035  8090519   935646   979707
  1085357   823704   835279   910673   981086  1016377  1042907  1068561
  1078100  1123842 12263172 12984929 12949590]";[1018740, 6464147, 885863, 976199, 12810391];[1088771, 922561, 1090587, 6034577, 823356];[954778, 857540, 819840, 8019916, 869835];[1074754, 895930, 1057843, 848319, 885863]
72;97;"[  844179  1075368   999999   867389   952408   954347  1016276  1137775
 15926886   870547  1016800  1042907  1089025  1099164  1122358  7441102]";[999858, 844179, 916122, 6464165, 9245106];[1060318, 6514030, 1060292, 6463752, 912620];[871722, 9835880, 1060312, 871514, 1057168];[880888, 900586, 12301109, 1065538, 6463826]
73;98;[ 905942 1001827  999999 6554188 8019681 9673980  847241 5568197 1091858];[1091858, 12524245, 834491, 827781, 13115501];[1091858, 847241, 919126, 9677447, 1077600];[1116589, 862535, 821741, 1013245, 848684];[974204, 1088555, 1098927, 890695, 8119004]
74;99;"[  969568   863885   866211   999999   916487   916993   940947   945294
   956200   983897   995628  1085031  1104481  1108713  1117556  5587656
  5591103  9297570  9677109  9836460 10457237 12782182 15830972  7025202]";[913210, 9926758, 5585510, 9835619, 1038692];[1015474, 10457044, 8293439, 6391541, 874563];[894360, 1061982, 1076954, 1132956, 1065259];[1074754, 906923, 5569993, 1127831, 1058345]
75;100;"[  828713   840640   851287   999999   863762   891752   907631   920025
   985999  1034838  1080472  1111786  1118235  5568197 12810393 15595822
 17249638 17290931]";[906335, 8181555, 974250, 882308, 1090931];[920025, 1110624, 910151, 7168431, 1078858];[8090533, 1137771, 8090560, 1101744, 902640];[1029688, 1042544, 985999, 874753, 1001656]
76;101;"[ 1042616  5586918  1106523   897954   899624   916122   999999   970605
 12731432  8090509  8090521  6463717]";[5569230, 1043751, 1044078, 844179, 12731432];[1080867, 929410, 1123106, 948640, 858999];[915064, 6039994, 1031864, 5707857, 979674];[1044078, 5569230, 881391, 1000736, 8019628]
77;103;[ 999999 1004122 7409845];[1044078, 1016800, 1090931, 5569230, 831628];[908314, 825317, 823031, 1102003, 842423];[1000148, 1070129, 7169088, 7409622, 870559];[1044078, 878996, 9416729, 1044078, 845078]
78;104;"[  865751  1094693  5567588   999999  5564526   835098   838186   842140
   854852   885406   901062   904236   906335   907631   908064   921504
   933835   937406   940766   955587   962991   995896  1008324  1016709
  1039464  1042438  1044078  1062002  1069506  1101502  1123035  1131321
  9831469  9837065 13189944 16809649 17178955  1074333  1123022  6034857
  6039787 13007434 13008469   866211   871563  1029313  1043751  1069003
  8069230  8090509  8090536  8090537]";[1029743, 849870, 910032, 5569230, 5568378];[1031419, 1069506, 871563, 876232, 851066];[1027835, 958067, 977927, 1041229, 985699];[1074754, 971922, 12757007, 5568378, 5569845]
79;105;"[  830677   999999   906838  6632589   981086  1123842 16809467  1060363
 10204556   845208 18119016]";[1044078, 12810393, 1128240, 1119761, 844179];[8067128, 1079724, 893729, 1133850, 982955];[10285022, 6534078, 924667, 1017075, 1121808];[1101010, 952163, 839419, 13189726, 12811532]
80;106;"[ 842995  999999  965842 1005274 1092303 6534074  844179  900964  916122
  953713  982955 1005456 1065662 1093413 8090521]";[951412, 872137, 1119405, 1046756, 1057102];[983665, 821825, 1071446, 976114, 1042915];[117847, 915064, 1012701, 1103513, 962967];[5569845, 897165, 1108994, 7024990, 870804]
81;107;[1037840];[1106523, 982469, 8090521, 1037840, 983659];[841365, 847434, 936322, 1000925, 879734];[1057168, 1021715, 852015, 6424460, 902377];[1021225, 8090537, 5568378, 905645, 937292]
82;109;"[  859427   916122   919535   951412  1055504   999999  1093571  1106601
  1111986   927265   999858  1025759  6464166  8090946 10285335 12301720
 12384564 13512837  1046756 12301100]";[1111080, 10285335, 906844, 916122, 6464166];[996955, 856215, 10285335, 994825, 862682];[867215, 9419422, 855454, 1105411, 961730];[968072, 6464166, 1128333, 1124818, 856215]
83;110;"[  845208   999999  1044078  1073546  1127758  9836460 12946027  1104649
  1020210  1106523]";[1044078, 836445, 1025611, 910673, 972143];[841236, 928749, 845677, 906202, 1132198];[879734, 935460, 6961848, 1080888, 5581464];[12301100, 998239, 1046545, 841220, 1105488]
84;111;[ 6602327  8090536 12811532   999999];[886317, 1013389, 9419888, 959931, 6391173];[872826, 8090550, 9677874, 943892, 826842];[1055403, 908314, 1076580, 1053022, 6533236];[9676997, 7025250, 1044078, 6633224, 10180324]
85;112;[ 909972 7168026 8160474  999999 6463480];[5569471, 1036939, 1004436, 5569230, 1065538];[1022066, 1118946, 982112, 950200, 988202];[831407, 1084587, 9419528, 852235, 1036699];[9244977, 849870, 849697, 1011089, 1022097]
86;113;"[  912141   947427   999104  1018769  1070820   999999  9831953 13213669
 16769802   822049   839419   845208   872137   882717   890344   950463
  1018339  1036262  1044759  1047076  1064797  1075214  1084613  1104205
  1107973  6034857  6553237  8019628  9836460 12385375   903517   907099
  7461889  9368501   837644   838867   844179   904236  1068504  1075536
  1119112  7099176  7410348 13512760 16729299 17330255   825365   828248
   834988   859427   878996   901062   909811   913210   993698  1001277
  1005961  1015597  1056620  1098485  1113274  1123842  7410071 13008042
 13876725 15741426 17249791]";[916122, 835278, 878996, 1127831, 879445];[1018339, 879031, 6772833, 947427, 918046];[993838, 998519, 948225, 10198378, 1102003];[901062, 848319, 971585, 892314, 6772746]
